movie title,average_rating,number_of_ratings,movie_id,release date, unknown,Action,Adventure, Animation, Children's,Comedy ,Crime,Documentary, Drama ,Fantasy, Film-Noir,Horror,Musical, Mystery, Romance,Sci-Fi,Thriller,War,Western
101 Dalmatians (1996),2.908256880733945,109,225,27-11-1996,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men (1957),4.344,125,178,01-01-1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2 Days in the Valley (1996),3.225806451612903,93,1011,27-09-1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"20,000 Leagues Under the Sea (1954)",3.5,72,141,01-01-1954,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2001: A Space Odyssey (1968),3.969111969111969,259,135,01-01-1968,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
"39 Steps, The (1935)",4.0508474576271185,59,615,01-01-1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Absolute Power (1997),3.37007874015748,127,291,14-02-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Abyss, The (1989)",3.589403973509934,151,164,01-01-1989,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Ace Ventura: Pet Detective (1994),3.0485436893203883,103,67,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Addams Family Values (1993),2.8160919540229883,87,386,01-01-1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Addicted to Love (1997),3.1666666666666665,54,535,23-05-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947,111,382,01-01-1994,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Adventures of Robin Hood, The (1938)",3.791044776119403,67,491,01-01-1938,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"African Queen, The (1951)",4.184210526315789,152,498,01-01-1951,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Age of Innocence, The (1993)",3.3846153846153846,65,387,01-01-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Air Force One (1997),3.6310904872389793,431,300,01-01-1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aladdin (1992),3.8127853881278537,219,95,01-01-1992,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Alice in Wonderland (1951),3.6666666666666665,81,420,01-01-1951,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alien (1979),4.034364261168385,291,183,01-01-1979,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Alien 3 (1992),2.83,100,665,01-01-1992,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Alien: Resurrection (1997),3.096774193548387,124,343,01-01-1997,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Aliens (1986),3.9471830985915495,284,176,01-01-1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
All About Eve (1950),4.045454545454546,66,606,01-01-1950,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amadeus (1984),4.163043478260869,276,191,01-01-1984,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"American President, The (1995)",3.6280487804878048,164,692,01-01-1995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"American Werewolf in London, An (1981)",3.5353535353535355,99,436,01-01-1981,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amistad (1997),3.8548387096774195,124,750,18-12-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Amityville Horror, The (1979)",2.5660377358490565,53,441,01-01-1979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anastasia (1997),3.4242424242424243,66,538,01-01-1997,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Angels and Insects (1995),3.4166666666666665,72,20,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Annie Hall (1977),3.911111111111111,180,514,01-01-1977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Antonia's Line (1995),3.9565217391304346,69,19,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Apartment, The (1960)",3.9365079365079363,63,481,01-01-1960,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Apocalypse Now (1979),4.04524886877828,221,180,01-01-1979,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Apollo 13 (1995),3.931159420289855,276,28,01-01-1995,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Apostle, The (1997)",3.6545454545454548,55,344,18-12-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Apt Pupil (1998),4.1,160,315,23-10-1998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Aristocats, The (1970)",3.1296296296296298,54,102,01-01-1970,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Army of Darkness (1993),3.4310344827586206,116,184,01-01-1993,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Around the World in 80 Days (1956),3.6610169491525424,59,495,01-01-1956,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arrival, The (1996)",3.036144578313253,83,825,31-05-1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Arsenic and Old Lace (1944),4.078260869565217,115,659,01-01-1944,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
As Good As It Gets (1997),4.196428571428571,112,316,23-12-1997,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Austin Powers: International Man of Mystery (1997),3.246153846153846,130,249,02-05-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Babe (1995),3.9954337899543377,219,8,01-01-1995,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Back to the Future (1985),3.834285714285714,350,204,01-01-1985,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Bad Boys (1995),3.1052631578947367,57,27,01-01-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bananas (1971),3.7017543859649122,57,502,01-01-1971,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Barcelona (1994),3.018867924528302,53,702,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Basic Instinct (1992),3.227722772277228,101,159,01-01-1992,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Batman & Robin (1997),2.4516129032258065,62,254,20-06-1997,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Batman (1989),3.427860696517413,201,403,01-01-1989,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Batman Forever (1995),2.6666666666666665,114,29,01-01-1995,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Batman Returns (1992),2.683098591549296,142,231,01-01-1992,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bean (1997),2.659340659340659,91,338,01-01-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beautician and the Beast, The (1997)",2.313953488372093,86,988,07-02-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Beautiful Girls (1996),3.391304347826087,115,762,09-02-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Beauty and the Beast (1991),3.792079207920792,202,588,01-01-1991,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Beavis and Butt-head Do America (1996),2.7884615384615383,156,240,20-12-1996,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bed of Roses (1996),3.2333333333333334,60,278,01-01-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Bedknobs and Broomsticks (1971),3.0701754385964914,57,142,01-01-1971,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Being There (1979),3.9051724137931036,116,663,01-01-1979,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben-Hur (1959),3.8306451612903225,124,526,01-01-1959,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Benny & Joon (1993),3.4607843137254903,102,747,01-01-1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Better Off Dead... (1985),3.569620253164557,79,710,01-01-1985,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Night (1996),3.9005847953216373,171,137,20-09-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Big Sleep, The (1946)",4.027397260273973,73,525,01-01-1946,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Birdcage, The (1996)",3.4436860068259385,293,25,08-03-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birds, The (1963)",3.808641975308642,162,443,01-01-1963,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Black Sheep (1996),2.6363636363636362,55,369,02-02-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blade Runner (1982),4.138181818181818,275,89,01-01-1982,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Blues Brothers, The (1980)",3.8366533864541834,251,186,01-01-1980,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Bob Roberts (1992),3.7411764705882353,85,425,01-01-1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Body Snatchers (1993),2.971014492753623,69,573,01-01-1993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Bonnie and Clyde (1967),3.819672131147541,122,504,01-01-1967,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Boogie Nights (1997),3.5873015873015874,189,340,01-01-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Boot, Das (1981)",4.203980099502488,201,515,04-04-1997,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Bound (1996),3.8217054263565893,129,129,04-10-1996,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"Brady Bunch Movie, The (1995)",2.8026315789473686,76,401,01-01-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bram Stoker's Dracula (1992),3.158333333333333,120,217,01-01-1992,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Braveheart (1995),4.151515151515151,297,22,16-02-1996,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Brazil (1985),3.8173076923076925,208,175,01-01-1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Breakdown (1997),3.4025974025974026,77,295,02-05-1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Breakfast at Tiffany's (1961),3.7263157894736842,95,131,01-01-1961,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Breaking the Waves (1996),3.72972972972973,74,221,15-11-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bridge on the River Kwai, The (1957)",4.175757575757576,165,199,01-01-1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Bridges of Madison County, The (1995)",3.1641791044776117,67,371,09-02-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Bringing Up Baby (1938),3.838235294117647,68,497,01-01-1938,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Arrow (1996),3.031496062992126,254,546,09-02-1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Brothers McMullen, The (1995)",3.452054794520548,73,26,01-01-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullets Over Broadway (1994),3.7209302325581395,86,792,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Butch Cassidy and the Sundance Kid (1969),3.949074074074074,216,435,01-01-1969,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cable Guy, The (1996)",2.339622641509434,106,122,14-06-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Candyman (1992),2.723076923076923,65,672,01-01-1992,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cape Fear (1962),3.5232558139534884,86,673,01-01-1962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Cape Fear (1991),3.456140350877193,171,218,01-01-1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Carlito's Way (1993),3.4074074074074074,54,76,01-01-1993,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Carrie (1976),3.5041322314049586,121,447,01-01-1976,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Casablanca (1942),4.45679012345679,243,483,01-01-1942,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Casino (1995),3.6483516483516483,91,693,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Casper (1995),3.076923076923077,52,768,01-01-1995,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cat on a Hot Tin Roof (1958),3.9516129032258065,62,499,01-01-1958,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Celluloid Closet, The (1995)",3.892857142857143,56,813,15-03-1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chain Reaction (1996),2.7,80,930,31-07-1996,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chasing Amy (1997),3.8390501319261214,379,246,01-01-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Chinatown (1974),4.136054421768708,147,654,01-01-1974,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"Christmas Carol, A (1938)",4.057971014492754,69,633,01-01-1938,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cinderella (1950),3.5813953488372094,129,418,01-01-1950,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cinema Paradiso (1988),4.1735537190082646,121,170,01-01-1988,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Circle of Friends (1995),3.486842105263158,76,724,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Citizen Kane (1941),4.292929292929293,198,134,01-01-1941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
City Hall (1996),3.1392405063291138,79,696,16-02-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"City of Lost Children, The (1995)",3.7916666666666665,96,919,01-01-1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Clear and Present Danger (1994),3.569832402234637,179,566,01-01-1994,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clerks (1994),3.804054054054054,148,42,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Client, The (1994)",3.381443298969072,97,356,01-01-1994,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Cliffhanger (1993),3.021505376344086,93,576,01-01-1993,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Clockwork Orange, A (1971)",3.909502262443439,221,179,01-01-1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Close Shave, A (1995)",4.491071428571429,112,408,28-04-1996,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Clueless (1995),3.458823529411765,170,367,01-01-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold Comfort Farm (1995),3.824,125,116,23-04-1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Con Air (1997),3.45985401459854,137,1016,06-06-1997,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Conan the Barbarian (1981),3.046728971962617,107,679,01-01-1981,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conspiracy Theory (1997),3.4237288135593222,295,328,08-08-1997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Contact (1997),3.8035363457760316,509,258,11-07-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Cook the Thief His Wife & Her Lover, The (1989)",3.024390243902439,82,640,01-01-1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cool Hand Luke (1967),3.9939024390243905,164,523,01-01-1967,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Cool Runnings (1993),3.161764705882353,68,1035,01-01-1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cop Land (1997),3.3771428571428572,175,327,01-01-1997,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Copycat (1995),3.302325581395349,86,5,01-01-1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Courage Under Fire (1996),3.6108597285067874,221,471,08-03-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Craft, The (1996)",3.1153846153846154,104,928,26-04-1996,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Crash (1996),2.546875,128,325,21-03-1997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Crimson Tide (1995),3.6298701298701297,154,31,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"Crow, The (1994)",3.417910447761194,134,68,01-01-1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Crucible, The (1996)",3.3376623376623376,77,676,27-11-1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Crumb (1994),3.7901234567901234,81,32,01-01-1994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Crying Game, The (1992)",3.6218487394957983,119,631,01-01-1992,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Cyrano de Bergerac (1990),3.8181818181818183,66,207,01-01-1990,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Dances with Wolves (1990),3.79296875,256,97,01-01-1990,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Dante's Peak (1997),2.933333333333333,240,323,07-02-1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dave (1993),3.65,180,732,01-01-1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Day the Earth Stood Still, The (1951)",3.9381443298969074,97,429,01-01-1951,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Daylight (1996),2.7719298245614037,57,827,06-12-1996,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Days of Thunder (1990),2.7169811320754715,53,849,01-01-1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dazed and Confused (1993),3.46875,64,959,01-01-1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Man Walking (1995),3.8963210702341136,299,9,01-01-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dead Poets Society (1989),3.9163346613545817,251,196,01-01-1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
